Component,Description,Qty,Unit Price (USD),Total Price (USD)
Pro Micro,Main microcontroller (ATmega32u4),1,8.0,8.0
MX Switches,Mechanical switches (any MX-style),40,0.25,10.0
Keycaps,Custom keycaps for 40 keys,1,15.0,15.0
Diodes,1N4148 diodes for matrix,40,0.03,1.2
Resistors,For pullups or encoder,10,0.02,0.2
Rotary Encoder,Vertical rotary encoder with push,1,2.5,2.5
OLED Screen,Optional small 128x32 display,1,4.0,4.0
PCB,Custom PCB for MeowBoard,1,15.0,15.0
Acrylic Case,Laser-cut top and bottom,1,12.0,12.0
TRRS Jack,Used for split connections (optional),1,1.0,1.0
USB-C Cable,Cable to connect the board,1,3.0,3.0
Screws & Standoffs,Mounting hardware,1,2.0,2.0
Soldering Materials,"Wire, flux, solder (consumables)",1,5.0,5.0
Miscellaneous,"Labels, packaging, foam, extras",1,6.1,6.1
